domain,severity,reject_media,reject_reports,public_comment,obfuscate
devianze.city,suspend,False,False,,False
dev.opensocial.space,suspend,False,False,,False
diasporabr.com.br,suspend,False,False,,False
diaspora.im,suspend,False,False,,False
digitalcourage.social,suspend,False,False,,False
diode.zone,suspend,False,False,,False
disabled.social,suspend,False,False,,False
discordian.social,suspend,False,False,,False
discuss.online,suspend,False,False,,False
discuss.systems,suspend,False,False,,False
diversity.kitchen,suspend,False,False,,False
djs.social,suspend,False,False,,False
donotsta.re,suspend,False,False,,False
dope.bz,suspend,False,False,,False
dragaorpg.com.br,suspend,False,False,,False
dragonscave.space,suspend,False,False,,False
ecoevo.social,suspend,False,False,,False
edi.social,suspend,False,False,,False
efdn.club,suspend,False,False,,False
egirls.gay,suspend,False,False,,False
eigenmagic.net,suspend,False,False,,False
eightpoint.app,suspend,False,False,,False
elbmatsch.de,suspend,False,False,,False
eldritch.cafe,suspend,False,False,,False
elefanti.co,suspend,False,False,,False
elsewhere.lostsun.eu.org,suspend,False,False,,False
embracing.space,suspend,False,False,,False
enby.life,suspend,False,False,,False
envs.net,suspend,False,False,,False
equestria.social,suspend,False,False,,False
estrogen.network,suspend,False,False,,False
eventos.institutohiphopcriciumense.com.br,suspend,False,False,,False
evil.social,suspend,False,False,,False
evokegts.umbrellix.org,suspend,False,False,,False
exile.social,suspend,False,False,,False
extra.sleepy.ink,suspend,False,False,,False
facchinellocidadania.com.br,suspend,False,False,,False
faepaintings.wixsite.com,suspend,False,False,,False
fandom.garden,suspend,False,False,,False
farothtong.forumieren.com,suspend,False,False,,False
f.aznas.eu.org,suspend,False,False,,False
feddit.dk,suspend,False,False,,False
fedia.io,suspend,False,False,,False
fedi.ashhhleyyy.dev,suspend,False,False,,False
fedia.social,suspend,False,False,,False
fedi.b0bmagic.eu.org,suspend,False,False,,False
fedi.bangsparks.com,suspend,False,False,,False
fediblock.ing,suspend,False,False,,False
fedifence.social,suspend,False,False,,False
fedi.interestingzinc.xyz,suspend,False,False,,False
fedi.joeydrew.studio,suspend,False,False,,False
fedi.kemonomimi.gay,suspend,False,False,,False
fedi.queerdorks.club,suspend,False,False,,False
fedi.tax,suspend,False,False,,False
feditest.citizen4.eu,suspend,False,False,,False
fediverso.jbox.com.br,suspend,False,False,,False
fedivienne.org,suspend,False,False,,False
fenixliderancafeminina.com.br,suspend,False,False,,False
ff.igwigg.space,suspend,False,False,,False
finecity.social,suspend,False,False,,False
firefish.5505.industries,suspend,False,False,,False
firefish.asso-purr.eu.org,suspend,False,False,,False
firefish.bantu.social,suspend,False,False,,False
firefish.katniss.top,suspend,False,False,,False
firefish.lgbt,suspend,False,False,,False
firefish.meerjungfrauengrotte.de,suspend,False,False,,False
firefish.social,suspend,False,False,,False
firefish.tenkuu.social,suspend,False,False,,False
firetribe.org,suspend,False,False,,False
flipping.rocks,suspend,False,False,,False
foodhub-muenchen.social,suspend,False,False,,False
forge.citizen4.eu,suspend,False,False,,False
forge.katzen.cafe,suspend,False,False,,False
fountainpen.social,suspend,False,False,,False
fouroclockfarms.club,suspend,False,False,,False
free.gluten.space,suspend,False,False,,False
freespeechextremist.com,suspend,False,False,,False
frfsh.plus.st,suspend,False,False,,False
friendica.mrpetovan.com,suspend,False,False,,False
friendica.opensocial.space,suspend,False,False,,False
functional.cafe,suspend,False,False,,False
funk.jawa.moe,suspend,False,False,,False
fuzzyroots.net,suspend,False,False,,False
fv.technogothic.net,suspend,False,False,,False
fyfy.eu.org,suspend,False,False,,False
fyrfli.social,suspend,False,False,,False
g33ks.coffee,suspend,False,False,,False
gallery.tonybark.com,suspend,False,False,,False
gamemaking.social,suspend,False,False,,False
gamepad.club,suspend,False,False,,False
gay-pirate-assassins.de,suspend,False,False,,False
gaypirates.club,suspend,False,False,,False
genart.social,suspend,False,False,,False
gender.systems,suspend,False,False,,False
genshin.social,suspend,False,False,,False
gensokyo.social,suspend,False,False,,False
girldick.gay,suspend,False,False,,False
git.envs.net,suspend,False,False,,False
git.magmaus3.eu.org,suspend,False,False,,False
gn-tronics.dev,suspend,False,False,,False
gnusocial.joeydrew.studio,suspend,False,False,,False
gnusocial.net,suspend,False,False,,False
goblin.camp,suspend,False,False,,False
goblin.technology,suspend,False,False,,False
godforsaken.website,suspend,False,False,,False
goto.hellsite.site,suspend,False,False,,False
gotosocial.gts.hazmat.jacksonchen666.com,suspend,False,False,,False
gotosocial.incenbie.eu.org,suspend,False,False,,False
grimoire.eu.org,suspend,False,False,,False
growers.social,suspend,False,False,,False
g.schraepler.de,suspend,False,False,,False
gts.0x68756773.moe,suspend,False,False,,False
gts.bugarin.com.br,suspend,False,False,,False
gts.emptydoll.house,suspend,False,False,,False
gts.ferreo.dev,suspend,False,False,,False
gts.fyrfli.social,suspend,False,False,,False
gts.kelbie.scot,suspend,False,False,,False
gts.superseriousbusiness.org,suspend,False,False,,False
guerilla.studio,suspend,False,False,,False
guilhermedea.com.br,suspend,False,False,,False
hachyderm.io,suspend,False,False,,False
hackers.town,suspend,False,False,,False
hact.org,suspend,False,False,,False
haqueers.com,suspend,False,False,,False
hellsite.site,suspend,False,False,,False
hell.social,suspend,False,False,,False
hey.hagelb.org,suspend,False,False,,False
hispagatos.space,suspend,False,False,,False
hktest.blahaj.zone,suspend,False,False,,False
hoihoi.superboi.eu.org,suspend,False,False,,False
hoosier.social,suspend,False,False,,False
hooves.social,suspend,False,False,,False
hub.volse.no,suspend,False,False,,False
hwl.li,suspend,False,False,,False
ice1.soda.jp.eu.org,suspend,False,False,,False
icosahedron.website,suspend,False,False,,False
idf.social,suspend,False,False,,False
ilyamikcoder.com,suspend,False,False,,False
im.alstadheim.no,suspend,False,False,,False
inaccessible.ac,suspend,False,False,,False
inclunet.com.br,suspend,False,False,,False
india.goonj.xyz,suspend,False,False,,False
indicreates.com,suspend,False,False,,False
indiepocalypse.social,suspend,False,False,,False
indieweb.social,suspend,False,False,,False
inductive.space,suspend,False,False,,False
inex.rocks,suspend,False,False,,False
infosec.exchange,suspend,False,False,,False
infosec.place,suspend,False,False,,False
infosec.press,suspend,False,False,,False
infosec.pub,suspend,False,False,,False
infosec.space,suspend,False,False,,False
infosec.town,suspend,False,False,,False
inherently.digital,suspend,False,False,,False
introvert.social,suspend,False,False,,False
invid.hwl.li,suspend,False,False,,False
is1.sowhat.jp.eu.org,suspend,False,False,,False
is-a.cat,suspend,False,False,,False
is.nota.live,suspend,False,False,,False
isopod.zone,suspend,False,False,,False
iusearchlinux.fyi,suspend,False,False,,False
jawa.moe,suspend,False,False,,False
jebba.moe,suspend,False,False,,False
jittr.click,suspend,False,False,,False
joeydrew.studio,suspend,False,False,,False
jubart.com.br,suspend,False,False,,False
jubi.life,suspend,False,False,,False
kafeneio.social,suspend,False,False,,False
kampftoast.de,suspend,False,False,,False
kave.kibbutz.gay,suspend,False,False,,False
kbin.tenkuu.social,suspend,False,False,,False
kemetic.space,suspend,False,False,,False
k.iim.gay,suspend,False,False,,False
kitty.town,suspend,False,False,,False
kiwi.soda.jp.eu.org,suspend,False,False,,False
koehlercode.dev,suspend,False,False,,False
kolektiva.social,suspend,False,False,,False
kookie.com.br,suspend,False,False,,False
lagemeet.duckdns.org,suspend,False,False,,False
larkspur.one,suspend,False,False,,False
lazybear.social,suspend,False,False,,False
leafposter.club,suspend,False,False,,False
lea.pet,suspend,False,False,,False
lemmy.blahaj.zone,suspend,False,False,,False
lemmy.brennoflavio.com.br,suspend,False,False,,False
lemmy.elashri.eu.org,suspend,False,False,,False
lemmy.funkyfish.cool,suspend,False,False,,False
lemmy.marud.fr,suspend,False,False,,False
lemmy.miichelle.moe,suspend,False,False,,False
lemmy.nrd.li,suspend,False,False,,False
lemmy.one,suspend,False,False,,False
lemmy.peanuthamper.io,suspend,False,False,,False
lemmy.plasmatrap.com,suspend,False,False,,False
lemmy.spacestation14.com,suspend,False,False,,False
lgbt.io,suspend,False,False,,False
liaamancio.com.br,suspend,False,False,,False
lib.lgbt,suspend,False,False,,False
library.tonybark.art,suspend,False,False,,False
lighttheunicorn.horse,suspend,False,False,,False
lily.network,suspend,False,False,,False
lime.soda.jp.eu.org,suspend,False,False,,False
liminalgici.spacc.eu.org,suspend,False,False,,False
lingo.lol,suspend,False,False,,False
literature.cafe,suspend,False,False,,False
literature.ink,suspend,False,False,,False
lit.maleo.uk,suspend,False,False,,False
live.dendy.fai.st,suspend,False,False,,False
live.eher.com.br,suspend,False,False,,False
live.ilyamikcoder.com,suspend,False,False,,False
live.malenfant.net,suspend,False,False,,False
live.ramram.ink,suspend,False,False,,False
live.superseriousbusiness.org,suspend,False,False,,False
lm.ilyamikcoder.com,suspend,False,False,,False
loforo.com,suspend,False,False,,False
lol.lamp.wtf,suspend,False,False,,False
lotide.exopla.net.eu.org,suspend,False,False,,False
lotor.network,suspend,False,False,,False
loud.computer,suspend,False,False,,False
lounge.town,suspend,False,False,,False
lubar.me,suspend,False,False,,False
lu.net.eu.org,suspend,False,False,,False
lust4love.eu.org,suspend,False,False,,False
lustigetiernamenbubble.de,suspend,False,False,,False
luzeed.org,suspend,False,False,,False
lyingvoid.social,suspend,False,False,,False
madameplay.com.br,suspend,False,False,,False
magicalgirl.party,suspend,False,False,,False
malenfant.net,suspend,False,False,,False
marv1n.me,suspend,False,False,,False
masterpimp.duckdns.org,suspend,False,False,,False
mast.eu.org,suspend,False,False,,False
mas.to,suspend,False,False,,False
masto.ai,suspend,False,False,,False
mastobate.social,suspend,False,False,,False
masto.brightfur.net,suspend,False,False,,False
mastodonapp.uk,suspend,False,False,,False
mastodon.ar.al,suspend,False,False,,False
mastodon.art,suspend,False,False,,False
mastodon.bayern,suspend,False,False,,False
mastodon.bentasker.co.uk,suspend,False,False,,False
mastodon.caputoweb.eu.org,suspend,False,False,,False
mastodon.com.br,suspend,False,False,,False
mastodon.dataden.gay,suspend,False,False,,False
mas.todon.de,suspend,False,False,,False
mastodon.derpstra.nl,suspend,False,False,,False
mastodon.design,suspend,False,False,,False
mastodon.dev.iftas.org,suspend,False,False,,False
mastodon.education,suspend,False,False,,False
mastodon.escepticos.es,suspend,False,False,,False
mastodon.fedivienne.org,suspend,False,False,,False
mastodon.gal,suspend,False,False,,False
mastodon.geekcorner.eu.org,suspend,False,False,,False
mastodon.guerilla.studio,suspend,False,False,,False
mastodon.hevertonfreitas.com.br,suspend,False,False,,False
mastodon.hidupmanis.studio,suspend,False,False,,False
mastodon.ie,suspend,False,False,,False
mastodon.iftas.org,suspend,False,False,,False
mastodon.jawa.moe,suspend,False,False,,False
mastodon.katniss.top,suspend,False,False,,False
mastodon.koehler.ca,suspend,False,False,,False
mastodon.koehlercode.dev,suspend,False,False,,False
mastodon.la,suspend,False,False,,False
mastodon.lilysthings.org,suspend,False,False,,False
mastodon.lucci.xyz,suspend,False,False,,False
mastodon.mauve.moe,suspend,False,False,,False
mastodon.mechanicalmischief.com,suspend,False,False,,False
mastodon.mit.edu,suspend,False,False,,False
mastodon.mixed-reality.social,suspend,False,False,,False
mastodon.moule.world,suspend,False,False,,False
mastodonmusic.social,suspend,False,False,,False
mastodon.neat.computer,suspend,False,False,,False
mastodon.nz,suspend,False,False,,False
mastodon.parleur.net,suspend,False,False,,False
mastodon.polente.de,suspend,False,False,,False
mastodon.portal.org,suspend,False,False,,False
mastodon.radio,suspend,False,False,,False
mastodon.raleurs.eu.org,suspend,False,False,,False
mastodon.sandwich.net,suspend,False,False,,False
mastodon.scot,suspend,False,False,,False
mastodon.social,suspend,False,False,,False
mastodon.stickbear.me,suspend,False,False,,False
masto.donte.com.br,suspend,False,False,,False
mastodon.uno,suspend,False,False,,False
mastodon.vierkantor.com,suspend,False,False,,False
mastodon.weber.fi.eu.org,suspend,False,False,,False
mastodon.ysr.ie,suspend,False,False,,False
masto.lema.org,suspend,False,False,,False
masto.queerscience.net,suspend,False,False,,False
matapacos.dog,suspend,False,False,,False
matrix.envs.net,suspend,False,False,,False
mblock.toot.lgbt,suspend,False,False,,False
md.ilyamikcoder.com,suspend,False,False,,False
meemu.org,suspend,False,False,,False
meerjungfrauengrotte.de,suspend,False,False,,False
meetiko.org,suspend,False,False,,False
meetups.infosec.exchange,suspend,False,False,,False
meet.zeal.center,suspend,False,False,,False
mementomori.social,suspend,False,False,,False
meow.nl.eu.org,suspend,False,False,,False
meow.social,suspend,False,False,,False
merry.eu.org,suspend,False,False,,False
metalhead.club,suspend,False,False,,False
metapixl.com,suspend,False,False,,False
m.feyo.pw,suspend,False,False,,False
micro.jacksonchen666.com,suspend,False,False,,False
midgardmates.com,suspend,False,False,,False
minimal.social,suspend,False,False,,False
minuit.lostsun.eu.org,suspend,False,False,,False
misc.name,suspend,False,False,,False
misskey.bugarin.com.br,suspend,False,False,,False
misskey.heonian.org,suspend,False,False,,False
mk.igwigg.space,suspend,False,False,,False
mk.plasmatrap.com,suspend,False,False,,False
mobilizon.com.br,suspend,False,False,,False
mobilizon.envs.net,suspend,False,False,,False
mobilizon.parleur.net,suspend,False,False,,False
mograph.social,suspend,False,False,,False
moments.hidupmanis.studio,suspend,False,False,,False
mond-basis.eu,suspend,False,False,,False
monkeyhex.com,suspend,False,False,,False
montereybay.social,suspend,False,False,,False
moth.zone,suspend,False,False,,False
motley.club,suspend,False,False,,False
msd.fedcast.ch,suspend,False,False,,False
mskyv11.tenlonern.jp.eu.org,suspend,False,False,,False
mspsocial.net,suspend,False,False,,False
mstdn.0xdj.dev,suspend,False,False,,False
mstdn.crmbl.uk,suspend,False,False,,False
mstdn.facb69.com.br,suspend,False,False,,False
mstdn.isometry.group,suspend,False,False,,False
mstdn.party,suspend,False,False,,False
mstdn.patatas.ca,suspend,False,False,,False
mstdn.plus,suspend,False,False,,False
mstdn.plus.st,suspend,False,False,,False
mstdn.social,suspend,False,False,,False
mstdn.sowhat.jp.eu.org,suspend,False,False,,False
mstdn.tacowolf.net,suspend,False,False,,False
muenchen.social,suspend,False,False,,False
musician.social,suspend,False,False,,False
musicians.today,suspend,False,False,,False
musings.fyrfli.social,suspend,False,False,,False
mutuals.sleepy.ink,suspend,False,False,,False
mytube.malenfant.net,suspend,False,False,,False
nalou-art.com,suspend,False,False,,False
nanako-fed.mooo.com,suspend,False,False,,False
neat.computer,suspend,False,False,,False
neat.tube,suspend,False,False,,False
netmonkey.xyz,suspend,False,False,,False
netzkae.se,suspend,False,False,,False
neurodifferent.me,suspend,False,False,,False
nexific.social,suspend,False,False,,False
ngmx.com,suspend,False,False,,False
niagara.social,suspend,False,False,,False
nightcity.bar,suspend,False,False,,False
nileane.fr,suspend,False,False,,False
nixie.name,suspend,False,False,,False
nixnet.social,suspend,False,False,,False
nixos.paris,suspend,False,False,,False
noods.fun,suspend,False,False,,False
norden.social,suspend,False,False,,False
nostream.mastodon.uno,suspend,False,False,,False
notes.tapenoise.cafe,suspend,False,False,,False
nothing.tacowolf.net,suspend,False,False,,False
nrw.social,suspend,False,False,,False
nulled.red,suspend,False,False,,False
nyan.network,suspend,False,False,,False
old.mermaid.town,suspend,False,False,,False
oliphant.social,suspend,False,False,,False
olkichat.duckdns.org,suspend,False,False,,False
ondergrond.org,suspend,False,False,,False
orbitalstation.one,suspend,False,False,,False
orchard.social,suspend,False,False,,False
ouroboros.gay,suspend,False,False,,False
pagan.plus,suspend,False,False,,False
paiokay.com.br,suspend,False,False,,False
paktodon.asia,suspend,False,False,,False
pandas.social,suspend,False,False,,False
parcero.bond,suspend,False,False,,False
parsa.transmom.love,suspend,False,False,,False
partyparrot.social,suspend,False,False,,False
pawb.social,suspend,False,False,,False
paws.town,suspend,False,False,,False
p.changeme.fr.eu.org,suspend,False,False,,False
peanuthamper.io,suspend,False,False,,False
peerlea.eu.org,suspend,False,False,,False
peertube.eu.org,suspend,False,False,,False
peertube.marud.fr,suspend,False,False,,False
pertsch.social,suspend,False,False,,False
petlover.eu.org,suspend,False,False,,False
phocks.eu.org,suspend,False,False,,False
pics.voiceover.bar,suspend,False,False,,False
piped.hwl.li,suspend,False,False,,False
pipou.academy,suspend,False,False,,False
piupiupiu.com.br,suspend,False,False,,False
pixelfed.art,suspend,False,False,,False
pixelfed.com.br,suspend,False,False,,False
pixelfed.de,suspend,False,False,,False
pixelfed.meerjungfrauengrotte.de,suspend,False,False,,False
pixelfed.social,suspend,False,False,,False
pixelfed.yojik.net,suspend,False,False,,False
pixel.infosec.exchange,suspend,False,False,,False
pixel.zerojay.com,suspend,False,False,,False
pixie.town,suspend,False,False,,False
pix.midgardmates.com,suspend,False,False,,False
pix.saiyajin.space,suspend,False,False,,False
plasmatrap.com,suspend,False,False,,False
play.seletronic.com.br,suspend,False,False,,False
pleroma.envs.net,suspend,False,False,,False
pleroma.flussence.eu,suspend,False,False,,False
plero.manjaruntu.net.eu.org,suspend,False,False,,False
pl.hyperboreal.zone,suspend,False,False,,False
pl.nulled.red,suspend,False,False,,False
plush.city,suspend,False,False,,False
pmagazinedigital.com.br,suspend,False,False,,False
podcast.infosec.exchange,suspend,False,False,,False
polyglot.city,suspend,False,False,,False
pont-bl.eu.org,suspend,False,False,,False
pony.social,suspend,False,False,,False
port87.social,suspend,False,False,,False
portside.social,suspend,False,False,,False
possum.city,suspend,False,False,,False
pouet.yazae.eu.org,suspend,False,False,,False
pounced-on.me,suspend,False,False,,False
problemes.eu.org,suspend,False,False,,False
procursus.social,suspend,False,False,,False
progressivecafe.social,suspend,False,False,,False
pt.ilyamikcoder.com,suspend,False,False,,False
pupy.cafe,suspend,False,False,,False
pxlfd.plus,suspend,False,False,,False
pynews.com.br,suspend,False,False,,False
pyrox.dev,suspend,False,False,,False
qtxiv.masto.host,suspend,False,False,,False
queer.blahaj.solutions,suspend,False,False,,False
queer.dev,suspend,False,False,,False
queerdon.social,suspend,False,False,,False
queereclaim.org,suspend,False,False,,False
queerfedi.com,suspend,False,False,,False
queer.garden,suspend,False,False,,False
queer.group,suspend,False,False,,False
queer.hacktivis.me,suspend,False,False,,False
queer.haus,suspend,False,False,,False
queer-lexikon.net,suspend,False,False,,False
queernerds.social,suspend,False,False,,False
queer.ofmd.social,suspend,False,False,,False
queer.party,suspend,False,False,,False
queerspirituality.social,suspend,False,False,,False
queer.todon.de,suspend,False,False,,False
queer.town,suspend,False,False,,False
r0.soda.jp.eu.org,suspend,False,False,,False
rage.love,suspend,False,False,,False
ramen-fsm.eu.org,suspend,False,False,,False
ravoque.com.br,suspend,False,False,,False
recurse.social,suspend,False,False,,False
redowl.org,suspend,False,False,,False
redpawcollective.co,suspend,False,False,,False
relay.bark.lgbt,suspend,False,False,,False
relay.fediverse.eu.org,suspend,False,False,,False
relay.hooves.social,suspend,False,False,,False
relay.infosec.exchange,suspend,False,False,,False
relay.lea.pet,suspend,False,False,,False
relay.social.0x68756773.moe,suspend,False,False,,False
relay.todon.eu,suspend,False,False,,False
replicants.cafe,suspend,False,False,,False
respiroaventura.com.br,suspend,False,False,,False
retro.pizza,suspend,False,False,,False
retro.social,suspend,False,False,,False
richard.directory,suspend,False,False,,False
ricko.social,suspend,False,False,,False
riemann.social,suspend,False,False,,False
romeros.link,suspend,False,False,,False
ropeburn.social,suspend,False,False,,False
rouge.eu.org,suspend,False,False,,False
ruhr.social,suspend,False,False,,False
rwn.lol,suspend,False,False,,False
sakurajima.moe,suspend,False,False,,False
sakurajima.social,suspend,False,False,,False
salcie.lostsun.eu.org,suspend,False,False,,False
